Northing,Easting,Lat,Lon,Elevation
6504028.908,546652.3299,-31.59788849,117.491772,274.323
6503952.802,546651.9877,-31.59857514,117.491772,273.331
6503876.696,546651.6454,-31.59926178,117.491772,272.384
6503800.59,546651.3031,-31.59994843,117.491772,271.212
6503724.484,546650.9608,-31.60063507,117.491772,269.652
6503648.378,546650.6185,-31.60132172,117.491772,268.922
6503572.273,546650.2762,-31.60200836,117.491772,268.404
6503496.167,546649.9339,-31.60269501,117.491772,268.879
6503420.061,546649.5916,-31.60338165,117.491772,269.404
6504713.516,546731.8938,-31.59170869,117.4925782,265.896
6504637.41,546731.551,-31.59239533,117.4925782,267.34
6504561.304,546731.2082,-31.59308198,117.4925782,270.141
6504485.198,546730.8654,-31.59376862,117.4925782,272.299
6504409.093,546730.5226,-31.59445527,117.4925782,273.964
6504332.987,546730.1798,-31.59514191,117.4925782,275.586
6504256.881,546729.837,-31.59582856,117.4925782,276
6504180.775,546729.4942,-31.5965152,117.4925782,276
6504104.669,546729.1514,-31.59720185,117.4925782,275.977
6504028.563,546728.8086,-31.59788849,117.4925782,275.286
6503952.458,546728.4658,-31.59857514,117.4925782,273.214
6503876.352,546728.1229,-31.59926178,117.4925782,271.616
6503800.246,546727.7801,-31.59994843,117.4925782,271.049
6503724.14,546727.4372,-31.60063507,117.4925782,269.303
6503648.034,546727.0944,-31.60132172,117.4925782,268.101
6503571.928,546726.7515,-31.60200836,117.4925782,266.999
6504713.171,546808.3775,-31.59170869,117.4933843,265.727
6504637.065,546808.0342,-31.59239533,117.4933843,267.743
6504332.642,546806.6608,-31.59514191,117.4933843,275.586
6504256.536,546806.3174,-31.59582856,117.4933843,276.712
6504180.43,546805.974,-31.5965152,117.4933843,277.813
6504104.324,546805.6307,-31.59720185,117.4933843,276.75
6504028.219,546805.2873,-31.59788849,117.4933843,274.771
6503952.113,546804.9439,-31.59857514,117.4933843,273.111
6503876.007,546804.6005,-31.59926178,117.4933843,271.384
6503799.901,546804.2571,-31.59994843,117.4933843,270.26
6503723.795,546803.9137,-31.60063507,117.4933843,268.141
6503647.689,546803.5702,-31.60132172,117.4933843,265.05
6503571.583,546803.2268,-31.60200836,117.4933843,264.163
6503495.477,546802.8834,-31.60269501,117.4933843,265.043
6504712.825,546884.8612,-31.59170869,117.4941905,265.373
6504636.72,546884.5173,-31.59239533,117.4941905,268.485
6504560.614,546884.1734,-31.59308198,117.4941905,268.959
6504484.508,546883.8295,-31.59376862,117.4941905,270.373
6504408.402,546883.4856,-31.59445527,117.4941905,272.671
6504332.296,546883.1417,-31.59514191,117.4941905,274.363
6504256.191,546882.7978,-31.59582856,117.4941905,275.535
6504180.085,546882.4538,-31.5965152,117.4941905,275.674
6504103.979,546882.1099,-31.59720185,117.4941905,275.576
6504027.873,546881.766,-31.59788849,117.4941905,274.535
6503951.767,546881.422,-31.59857514,117.4941905,273
6503875.661,546881.078,-31.59926178,117.4941905,270.725
6503799.555,546880.7341,-31.59994843,117.4941905,269.212
6503723.45,546880.3901,-31.60063507,117.4941905,267.08
6503647.344,546880.0461,-31.60132172,117.4941905,264.737
6503571.238,546879.7021,-31.60200836,117.4941905,262.663
6503495.132,546879.3581,-31.60269501,117.4941905,262.839
6503419.026,546879.0141,-31.60338165,117.4941905,265.111
6504712.479,546961.345,-31.59170869,117.4949967,264.65
6504636.374,546961.0005,-31.59239533,117.4949967,266.289
6504560.268,546960.656,-31.59308198,117.4949967,267.787
6504484.162,546960.3116,-31.59376862,117.4949967,269.133
6504408.056,546959.9671,-31.59445527,117.4949967,270.848
6504331.95,546959.6226,-31.59514191,117.4949967,272.019
6504255.845,546959.2781,-31.59582856,117.4949967,273.191
6504179.739,546958.9336,-31.5965152,117.4949967,272.504
6504103.633,546958.5891,-31.59720185,117.4949967,272.179
6504027.527,546958.2446,-31.59788849,117.4949967,272.434
6503951.421,546957.9001,-31.59857514,117.4949967,271.671
6503875.315,546957.5556,-31.59926178,117.4949967,270.101
6503799.209,546957.2111,-31.59994843,117.4949967,268.929
6503723.103,546956.8665,-31.60063507,117.4949967,267.069
6503646.998,546956.522,-31.60132172,117.4949967,264.737
6503570.892,546956.1775,-31.60200836,117.4949967,262.393
6503494.786,546955.8329,-31.60269501,117.4949967,261.816
6503418.68,546955.4883,-31.60338165,117.4949967,263.364
6504712.133,547037.8287,-31.59170869,117.4958028,263.669
6504636.027,547037.4837,-31.59239533,117.4958028,264.499
6504559.921,547037.1387,-31.59308198,117.4958028,266.161
6504483.815,547036.7936,-31.59376862,117.4958028,267.443
6504407.71,547036.4486,-31.59445527,117.4958028,268.771
6504331.604,547036.1036,-31.59514191,117.4958028,269.409
6504255.498,547035.7585,-31.59582856,117.4958028,270.393
6504179.392,547035.4135,-31.5965152,117.4958028,270.129
6504103.286,547035.0684,-31.59720185,117.4958028,269.145
6504027.18,547034.7233,-31.59788849,117.4958028,269.759
6503951.075,547034.3783,-31.59857514,117.4958028,269.848
6503874.969,547034.0332,-31.59926178,117.4958028,268.929
6503798.863,547033.6881,-31.59994843,117.4958028,267.757
6503722.757,547033.343,-31.60063507,117.4958028,266.585
6503646.651,547032.9979,-31.60132172,117.4958028,264.342
6503570.545,547032.6528,-31.60200836,117.4958028,262.393
6503494.439,547032.3077,-31.60269501,117.4958028,261.259
6503418.333,547031.9625,-31.60338165,117.4958028,262.192
6503342.227,547031.6174,-31.6040683,117.4958028,263.81
6504711.786,547114.3124,-31.59170869,117.496609,262.1
6504635.68,547113.9669,-31.59239533,117.496609,263.272
6504559.574,547113.6213,-31.59308198,117.496609,264.444
6504483.468,547113.2757,-31.59376862,117.496609,265.706
6504407.362,547112.9301,-31.59445527,117.496609,266.747
6504331.257,547112.5845,-31.59514191,117.496609,266.747
6504255.151,547112.2389,-31.59582856,117.496609,267.029
6504179.045,547111.8933,-31.5965152,117.496609,267.12
6504102.939,547111.5476,-31.59720185,117.496609,266.747
6504026.833,547111.202,-31.59788849,117.496609,267.019
6503950.727,547110.8564,-31.59857514,117.496609,267.747
6503874.621,547110.5107,-31.59926178,117.496609,267.517
6503798.516,547110.1651,-31.59994843,117.496609,266.091
6503722.41,547109.8194,-31.60063507,117.496609,265.388
6503646.304,547109.4738,-31.60132172,117.496609,263.786
6503570.198,547109.1281,-31.60200836,117.496609,261.766
6503494.092,547108.7824,-31.60269501,117.496609,260.373
6503417.986,547108.4367,-31.60338165,117.496609,260.615
6503341.88,547108.0911,-31.6040683,117.496609,261.566
6503265.774,547107.7454,-31.60475494,117.496609,261.747
6504711.438,547190.7962,-31.59170869,117.4974152,260.13
6504635.332,547190.45,-31.59239533,117.4974152,262.02
6504559.226,547190.1039,-31.59308198,117.4974152,263.272
6504483.121,547189.7577,-31.59376862,117.4974152,264.25
6504407.015,547189.4116,-31.59445527,117.4974152,264.403
6504330.909,547189.0654,-31.59514191,117.4974152,263.935
6504254.803,547188.7193,-31.59582856,117.4974152,263.605
6504178.697,547188.3731,-31.5965152,117.4974152,263.605
6504102.591,547188.0269,-31.59720185,117.4974152,263.605
6504026.485,547187.6807,-31.59788849,117.4974152,263.66
6503950.38,547187.3345,-31.59857514,117.4974152,264.161
6503874.274,547186.9883,-31.59926178,117.4974152,264.605
6503798.168,547186.6421,-31.59994843,117.4974152,264.287
6503722.062,547186.2959,-31.60063507,117.4974152,263.435
6503645.956,547185.9497,-31.60132172,117.4974152,262.245
6503569.85,547185.6034,-31.60200836,117.4974152,260.595
6503493.744,547185.2572,-31.60269501,117.4974152,259.581
6503417.638,547184.9109,-31.60338165,117.4974152,260.517
6503341.532,547184.5647,-31.6040683,117.4974152,260.31
6503265.426,547184.2184,-31.60475494,117.4974152,260.993
6503189.32,547183.8722,-31.60544158,117.4974152,262.494
6504711.09,547267.2799,-31.59170869,117.4982213,259.022
6504634.984,547266.9332,-31.59239533,117.4982213,259.955
6504558.878,547266.5865,-31.59308198,117.4982213,262.1
6504482.772,547266.2398,-31.59376862,117.4982213,262.795
6504406.666,547265.8931,-31.59445527,117.4982213,261.658
6504330.561,547265.5464,-31.59514191,117.4982213,261.072
6504254.455,547265.1996,-31.59582856,117.4982213,261.059
6504178.349,547264.8529,-31.5965152,117.4982213,261.059
6504102.243,547264.5062,-31.59720185,117.4982213,260.089
6504026.137,547264.1594,-31.59788849,117.4982213,260.354
